title,top_concepts,synopsis
Kuragehime: Eiyuu Retsuden☆,"manga, protagonists, episodes, anime, animes, characters, heroes, adventures, storylines, episode","Short episodes included in Blu-ray and DVD release, adapting the side story ""Kuragehime Heroes☆"", a spin-off manga serialized in Kiss Plus magazine. Supporting characters are featured in short chapters."
Fushigi Yuugi,"goddess, mangaka, manga, isekai, protagonists, anime, waifu, gods, shonen, characters","During a visit to the National Library, Miaka Yuuki and Yui Hongo stumble upon a strange old book that casts a red light, sucking them inside its unfamiliar world. Upon arrival, the two encounter hostile slave traders and barely escape with the help of Tamahome—a powerful young man bearing a Chinese symbol on his forehead. But, a moment later, the red light returns and takes Yui away. 

Desperate to reunite with her companion, Miaka asks Tamahome for assistance. However, the situation escalates when the pair encounters the land's emperor, Hotohori, who believes Miaka is the foretold priestess of the kingdom's protector god Suzaku. By gathering the god's seven Celestial Warriors, the priestess can summon Suzaku and have all her wishes granted. Hotohori hopes this will save his country, and since it appears to be a fitting solution to the girl's problems as well, he convinces her to accept the role.

Meanwhile, at the library, Yui realizes she has been brought back alone. Unable to intervene, she helplessly witnesses Miaka traversing through courageous trials as the mysterious book's heroine.

[Written by MAL Rewrite]"
Fushigi Yuugi: Eikouden,"goddess, gods, iyashikei, mangaka, yaoi, isekai, waifu, storylines, storyline, sakuga","After years of hardships interfered with their love, Miaka Yuuki and Taka Sukunami are finally married and expecting a baby—the pinnacle of their unbreakable bond. Unfortunately, not everyone rejoices alongside the blessed couple. Mayo Sakaki, one of Taka's students, has a crush on him and cannot bear witnessing the pair's flourishing relationship.

Upon discovering The Universe of the Four Gods, Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family, Mayo readily ventures inside with hopes of becoming the new priestess of Suzaku and rewriting the story to her advantage.

Meanwhile, her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital, Taka must follow Mayo to The Universe of the Four Gods and stop her before the circumstances worsen for his wife and their unborn child.

[Written by MAL Rewrite]"
Futakoi,"manga, yaoi, isekai, mahou, waifu, iyashikei, storyline, cast, fodder, actress","With his mother dead and his father working abroad, Futami Nozomu returns to the town where he lived as a child, to attend high school and work part-time at a local shrine. He soon finds himself caught up in a local legend of twin girls loving the same man. And there are many twin girls in this town....

(Source: ANN)"
Futakoi Alternative,"detective, isekai, otaku, seiyuus, isekais, sakuga, yaoi, otakus, director, mysteries","The Futaba Detective Agency, being run by Rentarou, who has taken over the family business, after his father's death 3 weeks ago. Along with Sara & Souju, his live-in identical twin assistants. He ends up running afoul of the local Yakuza.

(Source: ANN)"
Gate Keepers,"hacker, superpowers, enemy, aliens, beings, saga, shonens, enemies, shonen, villains","Technology, science, and industry—this is 1969 Tokyo, and there is no better time to be alive! But a shadow looms quietly around every corner: ""Invaders"" have infiltrated the populace, and nobody knows who or what they are.

Only the members of the top-secret agency AEGIS know of their existence. Covertly fighting the enemy is their job, but only those with the ability to open ""Gates"" to another world can truly defeat them. Within AEGIS is a specialized task force known as the ""Gate Keepers."" Composed of extraordinary individuals with a variety of Gate-related abilities, they are the only ones who can save humanity from the vicious Invaders plaguing the planet.

Shun Ukiya is an average high school student who lives with his widowed mother and little sister. While on his way home from school one day, he comes across a group of Invaders heading toward his house. In a desperate plight to save his family, Shun discovers he possesses the ability to open a Gate, allowing him to harness massive amounts of energy. With his newfound ability exposed, he catches the attention of AEGIS, and particularly the interest of one of its Gate Keepers, Shun's childhood friend Ruriko Ikusawa.

[Written by MAL Rewrite]"
Gate Keepers 21,"enemy, iyashikei, endings, enemies, saga, revelations, villains, shonens, ending, ghost","Thirty-two years have passed since the initial defeat of the Invaders. A.E.G.I.S is all but dismantled now and has become an underground organization consisting of only a few Gate Keepers left to save humanity. One of the members, Ayane Isuzu, is sick of society as a whole, though she continues to defeat the Invaders out of spite for her father. Suddenly, she learns of the revival of Machine General (Kikai Shogun) and Devil Count (Akuma Hakushaku), but a mysterious ghost girl now accompanies them. It is up to Ayane and the remnants of A.E.G.I.S to stop them and save humanity once again.

(Source: ANN)"
Gensoumaden Saiyuuki,"demons, demon, samurai, evil, spirits, villains, beings, manga, villain, gods","Many years ago, humans and demons lived in harmony. But that unity ended when demons started attacking humans and plotted a mission to unleash Gyumao—an evil demon imprisoned for thousands of years. Now, Genjo Sanzo, a rogue priest, must team up with three demons—Sha Gojyo, Son Goku, and Cho Hakkai—and embark on a perilous journey to the west to stop these demons from resurrecting Gyumao and restore the balance between humans and demons on Earth.

(Source: ANN)"
Saiyuuki Reload,"demon, demons, samurai, villains, antagonists, assassin, villain, isekai, protagonists, heroes","Priest Genjo Sanzo and companions Cho Hakkai, Sha Gojyo, and Son Goku maintain their westward journey to stop the resurrection of the demon Gyoumao. As the reputation of the Sanzo Ikkou precedes them, they continue to fight demon assassins at every turn, but they must also deal with increasing tensions within their group in order to defeat a powerful enemy. 

(Source: ANN)"
Saiyuuki Reload Gunlock,"sakuga, manga, isekai, mission, yaoi, shoujo, samurai, isekais, missions, iyashikei","The Sanzo Ikkou continues its westward journey, on a mission to prevent a demonic resurrection. As Genjo Sanzo, Cho Hakkai, Sha Gojyo, and Son Goku fight their way to their goal, their path is fraught with internal strife. When they encounter a formidable pair of adversaries from the west, the cohesion of the group -- and the fate of the mission -- may be at stake. 

(Source: ANN)"
GetBackers,"thief, grab, banter, return, samurai, shoujo, backstory, sakuga, isekai, manga","Mido Ban and Amano Ginji are known as the Get Backers, retrievers with a success rate of 100%. Whatever is lost or stolen, they can definitely get it back. Despite their powerful abilities and enthusiastic behavior, Ban and Ginji are terminally broke no matter what they do simply because few people would actually desire to hire them. As a result, the pair of them tend to do dangerous jobs, often leading to unwanted re-encounters with their old (and dangerous) friends."
Gokiburi-tachi no Tasogare,"insects, cartoons, creatures, animals, cartoon, animations, environment, animation, monsters, film","Hybrid film with animated cockroaches interacting with live-action actors.

In a trashy bachelor pad lived a colony of roaches who were able to roam freely for food or for games. Because of the homeowner being gentle with the roaches, they have no fear of traps, spray, or being stepped on. However when the homeowner starts bringing over a woman over, life starts to change for the roaches who are already living an easy life.

(Source: ANN)"
Green Green,"isekai, mangaka, isekais, manga, harem, anime, animes, iyashikei, samurai, sakuga","Kanenone Gakuen is an all-male boarding school located in the countryside of Japan. Although an all-male school is nothing new, life can become quite difficult when there are no female students for miles around. In order to help the psychological health of everyone involved, the school board has decided to try and merge with the nearest all-girl boarding school in order to become co-ed. The boys of Kanenone are more than thrilled at the prospect, and the girls are curious as to how interesting school life might become if there were more boys around. Before any serious decisions are made, the girls have been invited to stay at Kanenone for one month as a test.

 follows Yuusuke Takazaki and his naughty room mates called the Baka (Idiot) Trio, and their ability to talk to the girls without making complete fools of themselves. But as soon as the school bus with the girls arrives, things become weird, hormonal, and hysterical. In particular, a girl named Midori Chitose leaps off the bus and immediately embraces a very confused Yuusuke. Is he a natural ladies' man, or do the two of them have a shared history that he is not aware of?"
Gunslinger Girl,"heart, dramas, heroine, sisters, murder, crimes, girls, drama, portrayal, animes","In the heart of Italy, the Social Welfare Agency rescues young girls from hospital beds and gives them a second chance at life using the latest in cybernetic advancements. With their artificially enhanced bodies, the girls are brainwashed and trained as assassins to carry out the dirty work of the Italian Government. Despite all the modifications, they are still just children at heart, struggling for recognition from those they love, even knowing the love they feel is manufactured. This tragic tale unfolds as these girls grapple with their emotions in an agency that treats them as nothing but ruthless killers.

[Written by MAL Rewrite]"
Hikaru no Go,"manga, anime, isekai, yaoi, samurai, shonen, animes, shonens, intentions, shoujo","While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Fujiwara no Sai, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru.

Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning.

[Written by MAL Rewrite]"
Hunter x Hunter,"detective, assassin, quest, protagonists, adventurer, murder, gory, thief, crimes, wolf","Hunters are specialized in a wide variety of fields, ranging from treasure hunting to cooking. They have access to otherwise unavailable funds and information that allow them to pursue their dreams and interests. However, being a hunter is a special privilege, only attained by taking a deadly exam with an extremely low success rate.

Gon Freecss, a 12-year-old boy with the hope of finding his missing father, sets out on a quest to take the Hunter Exam. Along the way, he picks up three companions who also aim to take the dangerous test: the revenge-seeking Kurapika, aspiring doctor Leorio Paladiknight, and a mischievous child the same age as Gon, Killua Zoldyck.

As the four aspiring hunters embark on a perilous adventure, they fight for their dreams while defying the odds.

[Written by MAL Rewrite]"
Hunter x Hunter: Original Video Animation,"mangaka, insects, isekai, isekais, manga, kun, enemies, anime, sakuga, villains","After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro."
Hunter x Hunter: Greed Island,"manga, game, adventures, games, shonen, anime, villain, shonens, saga, villains","After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island."" However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro."
Hunter x Hunter: Greed Island Final,"villains, adventures, protagonists, villain, manga, enemies, cliffhangers, anime, enemy, animes","Continuing with their adventure at Greed Island, Gon and Killua train furiously under the guidance of Biscuit for better preparation at attempting the game. With their abilities vastly improving and the threat of player killers menacing Greed Island, Gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. Based on the manga by Togashi Yoshihiro."
Jinki:Extend,"robot, robots, ai, mangaka, anime, ova, manga, isekai, yaoi, machines","Aoba is a young girl who loves to build models of robots. She lived alone with her grandmother until her grandmother passes away. Shortly after she is kidnapped and brought to a secret base where she discovers a huge robot. The piloted robots fight against Ancient-Jinki in The Grand Savanna, but the true meaning behind the fights is hidden. Aoba works hard at the base so one day she can pilot one of the robots and discover these secrets."
Kamikaze Kaitou Jeanne,"thief, isekais, isekai, manga, sakuga, protagonist, samurai, anime, character, protagonists","A normal looking high school girl on the outside, Kusakabe Maron is actually the reincarnation of Jeanne d' Arc. With the help of the angel, Fin Fish, Maron works as the thief Jeanne at night to seal the demons that reside in pieces of artwork, preying upon the weak hearts of the owners. She is branded as a thief due to the fact that the artworks disappear after she seals the demons. One day, a new neighbor and classmate appears, as well as a rival in her night job, the thief Sinbad. With her own best friend being the detective's daughter, out to capture her and the appearance of her new rival, Maron's work is anything but easy."
Cyborg Kuro-chan,"cat, robot, dog, robots, melodrama, cartoon, villain, animals, character, goofy","Kuro is just an ordinary cat who only wants to protect his owners who are an old couple that can't fend for themselves. One day while on a date with his girlfriend Pooly who is a dog, he is kidnapped by an evil scientist and turned into a robot. Kuro somehow removes the chip that controlled him and notices that people get scared with his new robotic appearance and that he can now talk like a human. He decides to disguise himself with the skin of a stuffed toy and to continue living as a pet.

(Source: ANN)"
Kannazuki no Miko,"manga, encounter, isekai, enemies, encounters, anime, protagonists, mangaka, antagonists, night","begins in the village of Mahoroba, where time passes slowly for both man and nature. Two students from the village's prestigious Ototachibana Academy might as well be night and day. Himeko is shy and unassertive, while Chikane is bold and elegant. Despite this, they love each other, and nothing can come between them, no matter how hard they try.

On the two girls' shared birthday, a sinister voice corrupts one of their friends into attacking them, and just when it seemed grimmest, the lunar and solar priestess powers that lay dormant in the two girls awaken, dispelling the evil. That was only the first hurdle, however. The two must now fend off the countless others who would threaten their well-being—even the people closest to them!"
Kanon,"ecchi, loli, anime, manga, isekai, animes, mangaka, iyashikei, storyline, adventures","It’s been 7 years since Yuuichi Aizawa visited his aunt Akiko, but now that his parents have gone to Africa to pursue their careers, he is finally back in the little northern town. Yuuichi is not really overjoyed with the prospect of living here though, because all of his memories of this place and the people living in it have mysteriously vanished. His cute cousin Nayuki seems like a stranger as well, even though he used to play with her all the time when they were younger.

On the day of moving into his new home, Yuuichi starts unpacking the boxes and stumbles upon a red headband that no one seems to recognize. This is one of the first clues that will make Yuuichi take a stroll through the snow-covered town and make him start recalling fragments of his past, broken promises and buried secrets. Yuuichi soon realizes that there is something supernatural going on, and all of his new female acquaintances seem to have links to his forgotten past."
Speed Grapher,"mangaka, sakuga, shonen, manga, shonens, shoujo, chan, anime, waifu, samurai","Ten years after the Bubble War, the dichotomy between the rich and the poor in the world becomes more prominent and Japan is no exception. The rich seek to satisfy their desires and derive pleasure for themselves, and Tokyo has materialized into such a city as a result. Saiga, once a war photographer, works for Hibara Ginza in the capitalist state of Tokyo. He infiltrates the Roppongi Club, a secretive base located in the red light district of the city, to collect information about them. However, he was caught in the process and brought forward to a girl called Kagura who was in the midst of a ritual. His contact with Kagura awakens his special ability: the power to make things explode when photographed. In order to unravel the mystery behind the Roppongi Club and Kagura, Saiga begins his solitary battle."
Kareshi Kanojo no Jijou,"iyashikei, mangaka, shoujo, yaoi, manga, anime, waifu, samurai, shounen, girl","Yukino Miyazawa is the female representative for her class and the most popular girl among the freshmen at her high school. Good at both academics and sports on top of being elegant and sociable, she has been an object of admiration all her life. However, in reality, she is an incredibly vain person who toils relentlessly to maintain her good grades, athleticism, and graceful appearance. She wants nothing more than to be the center of attention and praise—which is why she cannot stand Souichirou Arima, the male representative for her class and the only person more perfect than her. Since the first day of high school, she has struggled to steal the spotlight from her new rival but to no avail.

At last, on the midterm exams, Yukino gets the top score and beats Souichirou. But, to her surprise, he congratulates her on her achievement, leading her to question her deceptive lifestyle. When Souichirou confesses his love to Yukino, she turns him down and gloats about it at home with only a hint of regret. But the very next day, Souichirou visits Yukino house to bring her a CD and sees her uninhibited self in action; now equipped with the truth, he blackmails her into completing his student council duties. Coerced into spending time with Souichirou, Yukino learns that she is not the only one hiding secrets.

[Written by MAL Rewrite]"
Kono Minikuku mo Utsukushii Sekai,"waifu, loli, anime, isekai, iyashikei, shonen, mangaka, isekais, shonens, animes","High school student Takeru Takemoto works part time as a (motor)bike courier. During one of his deliveries, he saw a mysterious light passing him and fell into a forest. What he had found was a beautiful girl coming out from a glowing cocoon, calling herself ""Hikari."" While Takeru was quite embarrassed because of Hikari's nudity, a strange monster suddenly showed up and immediately attacked the two. Both Takeru and Hikari demonstrated the power of their other selves before Takeru had a clue of what's going on.

(Source: ANN)"
Kimi ga Nozomu Eien,"friendship, friendships, sakuga, isekai, students, hijinks, student, gods, anime, shonens","In the warmth of a golden sun, timid high school student Haruka Suzumiya confesses to Takayuki Narumi, the boy she admires. Takayuki accepts Haruka's confession and the two become a couple, supported by their mutual friends Mitsuki Hayase and Shinji Taira. All is well for these friends—until tragedy strikes. 

One of them is sent to an unenviable fate, lying dormant in a coma. Three years later, they awaken, but their sudden reappearance in everyone's lives threatens to test the limits of these friends' bonds.

[Written by MAL Rewrite]"
Kita e.: Diamond Dust Drops,"couple, relationships, relationship, gem, friendships, romance, encounters, storyline, romances, affair","If a couple sees the diamond dust together, then they will certainly find eternal happiness. Or so it is said. This is a drama about the romances, friendships and conflicts of six girls from Hokkaido and how the diamond dust affects them and eventually links them together in the search for happiness. 

(Source: ANN)"
Blood+,"manga, anime, mangaka, blood, monsters, healer, isekai, backstory, heroine, animes","Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year.

However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. 

Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past.

[Written by MAL Rewrite]"
Kyoushirou to Towa no Sora Specials,"characters, relationships, storylines, protagonists, shorts, character, relationship, dramas, storyline, romances",Special shorts focusing on character relationships.
"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki","episodes, episode, sports, synopsis, ep, movies, movie, adventures, games, sport",A bonus episode bundled with the DVD and Blu-ray releases taking place at a sports day.
Solty Rei,"detective, assassin, thief, fate, villains, villain, storyline, superhero, cast, protagonist","In a future-based disaster-ridden city with an enormous gap between the rich and the poor, it is hard to tell which humans are walking around with cybernetic body parts. This makes Roy Revant's job as a renegade bounty hunter/bodyguard-for-hire even more difficult. When a young girl with unbeliveable strength rescues him from a particularly dangerous criminal, Roy realizes that perhaps help can be found in the strangest of places. Joining together with a few others, they engage in a battle to find out the truth behind the giant conglomerates that are supposedly serving mankind and making life better.

Solty, an android who has lost her memory, has escaped and is being hunted by the RUC Security Bureau. She encounters the bounty hunter Roy and he adopts her as his daughter after being hired as a bodygaurd for Miranda.

(Source: ANN)"
Juuni Kokuki,"isekai, iyashikei, isekais, mangaka, manga, anime, waifu, animes, samurai, shoujo","Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend.

But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die.

[Written by MAL Rewrite]"
Shaman King,"spirits, spirit, ghosts, ghost, manga, encounter, samurai, demons, demon, anime","A battle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power.

During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. 

Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory.

[Written by MAL Rewrite]"
Sen to Chihiro no Kamikakushi,"manga, tales, anime, storytelling, tale, adventures, ghost, storyline, spirits, adventure","Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing,  tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]"
X,"dragon, yaoi, isekai, loli, samurai, sakuga, iyashikei, isekais, shoujo, swords","In the fight between the Dragons of Heaven and the Dragons of Earth, the dream seer Princess Hinoto predicts the end of humanity. A central entity, 15-year-old Kamui Shirou, is to choose whether to ally with the Dragons of Earth and destroy civilization to protect the planet or with the Dragons of Heaven to save mankind.

Following his mother's last wish, Kamui returns to Tokyo after six years of self-imposed exile. There, he attempts to steal the Sacred Sword from the temple protected by Kyougo Monou—the father of his childhood friends, Fuuma and Kotori. However, after Kamui's venture fails, a mysterious person manages to obtain the sword instead.

Believing Kamui to be the man in her prophecy, Hinoto sends the Dragons of Heaven after him to rally him to their cause. Although Kamui first rejects his destiny, the incessant attacks by the Dragons of Earth against those he holds dear push him to decide whether the lives of his friends should prevail over the fate of the Earth and finally pick a side.

[Written by MAL Rewrite]"
Mahou Sensei Negima!,"wizard, teacher, students, student, mangaka, antics, school, grades, classes, act","10-year-old Negi Springfield is a wizard-in-training, and needs only to pass one more test in order to become a Master Wizard. Unfortunately, his final task is a bizarre one—to become a English teacher at an all-females boarding school. As soon as he arrives, he completely embarrasses one of his students, Asuna Kagurazaka, and replaces the teacher she loves, which garners her hatred. To make matters worse, Asuna learns that Negi is a wizard, and promises to tell unless he helps her out. But unfortunately, circumstances force them to work together to do many things, from fighting evil wizards to helping the class pass their final exam, with a lot of humor, magic, and romances thrown in.

(Source: ANN, edited)"
Maria-sama ga Miteru,"student, seiyuus, actress, goddess, heroine, girl, iyashikei, students, teacher, loli","Sachiko Ogasawara, a brilliant and refined student at Lillian Girls' Academy, hides a troubled personality behind her status as the school idol. She has a deep aversion to men and is revolted by the idea of having to dance with a male student for the upcoming school play. Desiring to step down from her role, she proposes to the Yamayuri Council, Lillian's student council, that she will instead prove her worth by finding a petite sœur—an underclassman who becomes the protegee of her grande sœur.

To the bewilderment of all, Yumi Fukuzawa, the first-year student Sachiko invites to become her petite sœur, refuses the proposal. However, senior Yamayuri Council member Sei Satou proposes a challenge: if Sachiko can convince Yumi to become her petite sœur, she can withdraw from the play. Although Sachiko often struggles to connect with others, she endeavors to do everything in her power to win Yumi over.

[Written by MAL Rewrite]"
Boukyaku no Senritsu,"battle, wars, war, villains, villain, battles, soundtrack, enemies, protagonist, enemy","A great war occurred in the 20th century between humans and monsters. Since that time, the monsters rule the world in fear but keep relatively hidden from public view. A boy named Bokka ponders the past and wonders what became of the Meros Warriors who defended the world so bravely against the demons. He soon meets Kurofune and learns of the power of the Meros and the I-bar machines they ride in battle. Warriors are the only ones who can see and hear the Melody of Oblivion, a phantom girl hidden away waiting to be rescued and be the savior of mankind. During a battle between Kurofune and a demon, Bokka discovers something only his wildest dreams could possibly imagine...he too can hear that melody. Throughout his journeys, Bokka meets many monsters and their agents, friends, and companions as he discovers the true extent of his new powers. He must continue to battle evil in the hope of releasing Boukyaku no Senritsu and free a world that has forgotten its once beautiful melody.

(Source: ANN)"
"Ima, Soko ni Iru Boku","storyline, manga, spirits, demon, sakuga, protagonist, shonen, demons, narrative, encounter","Shuuzou ""Shuu"" Matsutani lives his ordinary life in peace. He has friends, a crush, and a passion for kendo. Dejected after losing to his kendo rival, Shuu climbs a smokestack to watch the sunset where he finds Lala-Ru, a quiet, blue-haired girl wearing a strange pendant. Shuu attempts to befriend her, despite her uninterested, bland responses.

However, his hopes are crushed when a woman, accompanied by two serpentine machines, appear out of thin air with one goal in mind: capture Lala-Ru. Shuu, bull-headed as he is, tries to save his new friend from her kidnappers and is transported to a desert world, unlike anything he has ever seen before. Yet, despite the circumstances, Shuu only thinks of saving Lala-Ru, until he is thoroughly beaten up by some soldiers. As he soon finds out, Lala-Ru can manipulate water and her pendant is the source from which she is able to bring forth the liquid, a scarce commodity in his new environment. But now, the pendant is lost, and Shuu is the prime suspect.

 is the haunting story of a dystopian world, and of Shuu, who has to endure torture, hunger, and the horrors of war in order to save the lonely girl he found sitting atop a smokestack.

[Written by MAL Rewrite]"
Peace Maker Kurogane,"manga, samurai, isekais, iyashikei, isekai, mangaka, animes, anime, shonens, shoujo","Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge lead him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group."
Pita Ten,"antics, childhood, melodrama, friendships, isekai, waifu, protagonist, shonen, anime, iyashikei","Kotarou was pretty much supposed to be your average boy, worried about the pressures of education while enjoying a simple life with his friends. Much to his despair, he one day finds the overly cheerful Misha at his door, asking to be friends out of nowhere. Even more shocking is that Misha is an apprentice angel, yet she does more bad then good. Along with Kotarou's school friends Takashi and Koboshi and the so called devil Shia (once again being able to do more good then bad), the group of friends spend their days getting into all sorts of adventures and troubles."
Power Stone,"protagonist, idol, storyline, stone, king, gem, storytelling, storyteller, tales, magic","An ancient legend tells of a magical Powerstone that granted its owner any wish desired. Adventurers from all over the globe clash as they seek this mystical gem. 

Based upon the Dreamcast game, POWERSTONE tries to entertain us with the story behind the game's premise. The plot begins with our hero, Fokker, training to be a fighter like his idol, Vargas. 

(Source: AniDB)"
Mononoke Hime,"manga, mangaka, nature, anime, iyashikei, beings, demons, samurai, kun, demon","When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him.  is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.

[Written by MAL Rewrite]"
RahXephon,"anime, manga, realities, life, animes, isekai, darkness, superhero, lives, iyashikei","The ordinary life of high school student Ayato Kamina is turned upside down when Tokyo is suddenly invaded by futuristic fighter jets. Amidst the chaos, he encounters a woman called Haruka Shitow who claims to be from a government organization called TERRA. She reveals that he has been living in a time bubble named ""Tokyo Jupiter"" that was put in place by the Mulians—humanoids from another dimension—in an attempt to isolate and take over Tokyo. TERRA has been trying to break through the barrier surrounding the city ever since. 

Unable to process the revelation, Ayato panics and flees. He runs into his classmate Reika Mishima who leads him to a place called ""The Shrine of Xephon"" where a large egg slumbers. She starts to sing and an unknown power awakens within Ayato, connecting him to a being called RahXephon that breaks out of the egg. Shortly after, Haruka finds him again and tries to make him join her cause of fighting against the Mulians.

Caught between the crosshairs of the Mulians and TERRA, Ayato begins to question his purpose, navigating altered memories and ultimately his very identity in this chaotic new world.

[Written by MAL Rewrite]"
Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,"anime, darkness, ova, ovas, villains, beings, manga, isekai, spirits, animes","One day, Nobita runs into a creature-like ball of wind, which came from a faraway land, but blew into their neighbourhood following the recent typhoon that went through the area. Nobita names it Fuuko. Eventually, he, Doraemon and their friends take it to a vast countryside through the Anywhere Door. There, they learn about the Wind and Storm Villages, and Fuuko's real identity. Soon, Nobita and his friends have to protect Fuuko from the Storm Village and a now-possessed Nobuo, who is being controlled by the spirit of the Storm Village's former leader. 

(Source: ANN)"
Samurai 7,"samurai, anime, iyashikei, manga, animes, shoujo, mangaka, shonen, swords, shonens","In the far distant future, on a planet that might have been called ""earth"", there was a war between samurai who mechanized their bodies. After the long war, people enjoyed a modest peace.

Facing starvation and abductions at the hands of fearsome mechanized bandits (Nobuseri), the farmers of Kanna Village make the dangerous choice to hire samurai for protection. The village's water priestess, Kirara, her younger sister, Komachi, and a heartbroken villager, Rikichi, set off to hire willing samurai with nothing to offer but rice from their meager harvests. Through dangerous encounters and a bit of luck, seven samurai of varying specialties and experience are gathered for an epic battle against the bandits and the merchants that influence them.

Samurai 7 is based loosely upon Kurosawa Akira's famous movie ""Seven Samurai""/""Shichinin no Samurai"""
